name
Front-End Developer
Back-End Developer
Full-Stack Developer
Mobile Developer
Web Developer
Software Engineer
Systems Engineer
Embedded Systems Engineer
DevOps Engineer
Site Reliability Engineer (SRE)
Test Engineer
Quality Assurance (QA) Engineer
Data Scientist
Data Analyst
Data Engineer
Database Administrator (DBA)
Machine Learning Engineer
AI Engineer
Security Engineer
Information Security Analyst
Cybersecurity Specialist
Penetration Tester
Security Architect
Cloud Engineer
Cloud Architect
Network Engineer
Systems Administrator
Project Manager
Product Manager
Scrum Master
Agile Coach
Technical Program Manager
UX Designer
UI Designer
Product Designer
Graphic Designer
Interaction Designer
IT Support Specialist
Helpdesk Technician
Technical Support Engineer
Systems Support Specialist
Solutions Architect
Business Analyst
IT Consultant
Technical Writer
Research Scientist
Game Developer
AR/VR Developer
